2Theta,Intensity
29.629999999999995,5
29.65,6
29.669999999999995,8
29.689999999999998,8
29.709999999999994,1
29.729999999999997,8
29.749999999999993,5
29.769999999999996,10
29.79,7
29.809999999999995,6
29.83,7
29.849999999999994,8
29.869999999999997,13
29.889999999999993,4
29.909999999999997,1
29.929999999999993,8
29.949999999999996,7
29.97,5
29.989999999999995,10
30.009999999999998,10
30.029999999999994,6
30.049999999999997,4
30.069999999999993,6
30.089999999999996,4
30.11,4
30.129999999999995,5
30.15,7
30.169999999999995,5
30.189999999999998,6
30.209999999999994,9
30.229999999999997,12
30.249999999999993,5
30.269999999999996,7
30.29,7
30.309999999999995,7
30.33,6
30.349999999999994,5
30.369999999999997,7
30.389999999999993,4
30.409999999999997,9
30.429999999999993,2
30.449999999999996,9
30.47,3
30.489999999999995,5
30.509999999999998,6
30.529999999999994,2
30.549999999999997,4
30.569999999999993,4
30.589999999999996,7
30.609999999999992,8
30.629999999999995,4
30.65,5
30.669999999999995,4
30.689999999999998,5
30.709999999999994,5
30.729999999999997,3
30.749999999999993,7
30.769999999999996,9
30.79,6
30.809999999999995,9
30.83,6
30.849999999999994,4
30.869999999999997,2
30.889999999999993,9
30.909999999999997,5
30.929999999999993,7
30.949999999999996,7
30.97,2
30.989999999999995,11
31.009999999999998,6
31.029999999999994,7
31.049999999999997,6
31.069999999999993,2
31.089999999999996,6
31.109999999999992,4
31.129999999999995,4
31.15,6
31.169999999999995,3
31.189999999999998,9
31.209999999999994,5
31.229999999999997,2
31.249999999999993,5
31.269999999999996,5
31.29,8
31.309999999999995,11
31.33,7
31.349999999999994,8
31.369999999999997,4
31.389999999999993,9
31.409999999999997,7
31.429999999999993,5
31.449999999999996,8
31.47,5
31.489999999999995,5
31.509999999999998,9
31.529999999999994,3
31.549999999999997,9
31.569999999999993,4
31.589999999999996,5
31.609999999999992,3
31.629999999999995,8
31.65,8
31.669999999999995,4
31.689999999999998,8
31.709999999999994,10
31.729999999999997,3
31.749999999999993,7
31.769999999999996,7
31.79,9
31.809999999999995,6
31.83,4
31.849999999999994,7
31.869999999999997,6
31.889999999999993,8
31.909999999999997,5
31.929999999999993,4
31.949999999999996,3
31.97,6
31.989999999999995,5
32.01,6
32.029999999999994,4
32.05,4
32.06999999999999,5
32.089999999999996,6
32.10999999999999,4
32.129999999999995,5
32.15,7
32.169999999999995,7
32.19,5
32.209999999999994,7
32.23,2
32.24999999999999,2
32.269999999999996,8
32.29,6
32.309999999999995,5
32.33,7
32.349999999999994,1
32.37,6
32.38999999999999,4
32.41,8
32.42999999999999,5
32.449999999999996,6
32.47,4
32.489999999999995,14
32.51,7
32.529999999999994,0
32.55,6
32.56999999999999,2
32.589999999999996,11
32.60999999999999,3
32.629999999999995,7
32.65,9
32.669999999999995,7
32.69,4
32.709999999999994,4
32.73,5
32.74999999999999,4
32.769999999999996,6
32.78999999999999,5
32.809999999999995,7
32.83,7
32.849999999999994,2
32.87,9
32.88999999999999,12
32.91,12
32.92999999999999,10
32.949999999999996,8
32.97,8
32.989999999999995,15
33.01,13
33.029999999999994,18
33.05,16
33.06999999999999,7
33.089999999999996,10
33.10999999999999,10
33.129999999999995,8
33.15,9
33.169999999999995,12
33.19,9
33.209999999999994,14
33.23,14
33.24999999999999,9
33.269999999999996,16
33.28999999999999,12
33.309999999999995,16
33.33,9
33.349999999999994,12
33.37,8
33.38999999999999,13
33.41,16
33.42999999999999,11
33.449999999999996,11
33.47,17
33.489999999999995,10
33.51,12
33.529999999999994,15
33.55,13
33.56999999999999,13
33.589999999999996,13
33.60999999999999,10
33.629999999999995,11
33.65,14
33.669999999999995,15
33.69,13
33.709999999999994,18
33.73,15
33.74999999999999,20
33.769999999999996,20
33.78999999999999,14
33.809999999999995,11
33.83,13
33.849999999999994,16
33.87,8
33.88999999999999,18
33.91,14
33.92999999999999,25
33.949999999999996,15
33.97,16
33.989999999999995,23
34.01,11
34.029999999999994,15
34.05,20
34.06999999999999,11
34.089999999999996,12
34.10999999999999,13
34.129999999999995,13
34.15,6
34.169999999999995,8
34.19,15
34.209999999999994,17
34.23,15
34.24999999999999,20
34.269999999999996,19
34.28999999999999,14
34.309999999999995,16
34.33,10
34.349999999999994,15
34.37,10
34.38999999999999,13
34.41,8
34.42999999999999,15
34.449999999999996,13
34.46999999999999,17
34.489999999999995,15
34.51,18
34.529999999999994,12
34.55,8
34.56999999999999,13
34.589999999999996,16
34.60999999999999,10
34.629999999999995,9
34.65,9
34.669999999999995,8
34.69,6
34.709999999999994,8
34.73,9
34.74999999999999,11
34.769999999999996,9
34.78999999999999,8
34.809999999999995,8
34.83,10
34.849999999999994,12
34.87,8
34.88999999999999,8
34.91,11
34.92999999999999,7
34.949999999999996,12
34.96999999999999,6
34.989999999999995,9
35.01,3
35.029999999999994,6
35.05,5
35.06999999999999,3
35.089999999999996,6
35.10999999999999,6
35.129999999999995,5
35.15,4
35.169999999999995,8
35.19,4
35.209999999999994,4
35.23,4
35.24999999999999,10
35.269999999999996,4
35.28999999999999,5
35.309999999999995,5
35.33,8
35.349999999999994,7
35.37,2
35.38999999999999,7
35.41,1
35.42999999999999,6
35.449999999999996,8
35.46999999999999,4
35.489999999999995,3
35.51,4
35.529999999999994,6
35.55,5
35.56999999999999,10
35.589999999999996,7
35.60999999999999,6
35.629999999999995,4
35.65,2
35.669999999999995,5
35.69,2
35.709999999999994,3
35.73,6
35.74999999999999,4
35.769999999999996,4
35.78999999999999,3
35.809999999999995,2
35.83,2
35.849999999999994,8
35.87,6
35.88999999999999,6
35.91,0
35.92999999999999,8
35.949999999999996,6
35.96999999999999,6
35.989999999999995,2
36.01,3
36.029999999999994,3
36.05,5
36.06999999999999,5
36.089999999999996,3
36.10999999999999,0
36.129999999999995,3
36.15,8
36.169999999999995,2
36.19,1
36.209999999999994,5
36.23,1
36.24999999999999,3
36.269999999999996,1
36.28999999999999,1
36.309999999999995,6
36.33,6
36.349999999999994,4
36.37,3
36.38999999999999,5
36.41,3
36.42999999999999,3
36.449999999999996,3
36.46999999999999,4
36.489999999999995,3
36.51,3
36.529999999999994,4
36.55,1
36.56999999999999,6
36.589999999999996,2
36.60999999999999,5
36.629999999999995,3
36.64999999999999,4
36.669999999999995,2
36.69,3
36.709999999999994,1
36.73,4
36.74999999999999,4
36.769999999999996,7
36.78999999999999,5
36.809999999999995,2
36.83,4
36.849999999999994,4
36.87,1
36.88999999999999,2
36.91,4
